,E,S,eta,GESpert_Min,GESpert_FE,GESstandard_Min,GESstandard_FE,LS_Min,LS_FE,nBands
278,0.278,Nanoribbon,1e-14,0.059085629,9.515964719649057e-14,0.067722022,9.4997870949327e-14,0.13055611,9.322014972122794,22.0
279,0.27899999999999997,Nanoribbon,1e-14,0.059022437000000004,9.578141619691714e-14,0.067692298,9.577878166118013e-14,0.132956631,24.835888285616456,22.0
280,0.28,Nanoribbon,1e-14,0.059264397,9.686179893040981e-14,0.068145651,9.674417794098102e-14,0.118591789,5240.6217568071725,22.0
281,0.281,Nanoribbon,1e-14,0.059194945,9.655256057546727e-14,0.06787021,9.654760389556556e-14,0.13786229,219.72292488252438,22.0
282,0.282,Nanoribbon,1e-14,0.058720287999999995,9.488223024999594e-14,0.067443995,9.51558215960005e-14,0.138494375,917053.3220408693,22.0
283,0.28300000000000003,Nanoribbon,1e-14,0.05923700900000001,9.507143645667134e-14,0.067801606,9.515500854861743e-14,0.13515435,149763.32864845387,22.0
284,0.284,Nanoribbon,1e-14,0.058820023,9.531361759946193e-14,0.067447348,9.555262639881656e-14,0.139210565,228423.86761198746,22.0
285,0.285,Nanoribbon,1e-14,0.059130437,9.474931948021467e-14,0.067733403,9.479854957575213e-14,0.137513039,96557.80730320694,22.0
286,0.28600000000000003,Nanoribbon,1e-14,0.058914635,9.587606841563893e-14,0.06760733599999999,9.590789262541009e-14,0.12523610699999999,2.1519260407120726e-11,22.0
287,0.287,Nanoribbon,1e-14,0.059440256,9.538168854819627e-14,0.06809157,9.490540504011133e-14,0.125740667,1.4388054933267593e-11,22.0
288,0.28800000000000003,Nanoribbon,1e-14,0.059181261,9.563591112180207e-14,0.067716035,9.498796064948638e-14,0.125541033,1.3346201841591943e-10,22.0
289,0.289,Nanoribbon,1e-14,0.059667652,9.555099168896572e-14,0.06824917700000001,9.570294690314856e-14,0.125456125,1.1315547897366392e-10,22.0
290,0.29,Nanoribbon,1e-14,0.05967806900000001,9.513885159665966e-14,0.068314683,9.524559343804153e-14,0.124123605,7.622706666109145e-11,22.0
291,0.29100000000000004,Nanoribbon,1e-14,0.059353277999999995,9.439330726621576e-14,0.068067969,9.44516990912857e-14,0.125649743,1.5565986399802482e-11,22.0
292,0.292,Nanoribbon,1e-14,0.059892952,9.381131206223246e-14,0.06850782400000001,9.400815709167198e-14,0.133720662,415592.6962964643,22.0
293,0.293,Nanoribbon,1e-14,0.059440065,9.390790400235852e-14,0.06807654,9.387651341526047e-14,0.126208089,5.657242448439244e-10,22.0
294,0.294,Nanoribbon,1e-14,0.059080180999999996,9.573182399608893e-14,0.067596844,9.541823801883608e-14,0.125035566,4.286549237168057e-11,22.0
295,0.295,Nanoribbon,1e-14,0.059206997000000004,9.315593282766533e-14,0.069071644,9.295359275258225e-14,0.12440175099999999,1.0942541756023034e-09,24.0
296,0.29600000000000004,Nanoribbon,1e-14,0.059364186,9.507198996796167e-14,0.069033021,9.468560164129964e-14,0.125961079,1.547172750554813e-10,24.0
297,0.297,Nanoribbon,1e-14,0.058865466,9.401076860010633e-14,0.068464811,9.40815604562318e-14,0.128075084,8.753419051337726,24.0
298,0.298,Nanoribbon,1e-14,0.059592053,9.47432661542784e-14,0.06933117,9.455324842425626e-14,0.125470677,1.1843718254427106e-10,24.0
299,0.299,Nanoribbon,1e-14,0.059278131,9.403435873043184e-14,0.06938212,9.381148417438664e-14,0.128332005,113.76666756966792,24.0
300,0.3,Nanoribbon,1e-14,0.059446877,9.506944014312584e-14,0.069055425,9.497709991486356e-14,0.125183563,2.2126652167439718e-10,24.0
301,0.301,Nanoribbon,1e-14,0.059495118,9.417601177984453e-14,0.069076818,9.421835935534558e-14,0.12520663,2.0187884182273224e-10,24.0
302,0.302,Nanoribbon,1e-14,0.059005068,9.418190580593384e-14,0.068710313,9.426273269614235e-14,0.124099946,6.366654983558896e-11,24.0
303,0.303,Nanoribbon,1e-14,0.059679644000000004,9.460787805740604e-14,0.069176787,9.427555888856713e-14,0.125559191,1.1683055228188632e-08,24.0
304,0.304,Nanoribbon,1e-14,0.059247485,9.415037841711543e-14,0.068868045,9.387109782946973e-14,0.125379564,3.859208113881453e-11,24.0
305,0.305,Nanoribbon,1e-14,0.058782264,9.395212699235308e-14,0.06833792,9.388981893294805e-14,0.12594865,1.8204961251632215e-10,24.0
306,0.306,Nanoribbon,1e-14,0.059066123,9.479652532218842e-14,0.068804911,9.468189323735209e-14,0.12530424199999998,1.8779771080114015e-11,24.0
307,0.307,Nanoribbon,1e-14,0.059016929,9.427838616312176e-14,0.06887053,9.432501051292744e-14,0.125734922,4.771587486939169e-11,24.0
308,0.308,Nanoribbon,1e-14,0.058972258,9.455163257122397e-14,0.06857814400000001,9.444318840664522e-14,0.126189907,4.5252716540798473e-11,24.0
309,0.309,Nanoribbon,1e-14,0.058988702000000004,9.437665076828055e-14,0.068566392,9.474024348296788e-14,0.125822535,5.510517502468596e-11,24.0
310,0.31,Nanoribbon,1e-14,0.058923714,9.590004028646203e-14,0.06849539,9.575591372349657e-14,0.12402152400000001,9.480890831342584e-11,24.0
311,0.311,Nanoribbon,1e-14,0.059257343,9.419469241109627e-14,0.068879042,9.442949664925104e-14,0.125564295,4.009362009889368e-10,24.0
312,0.312,Nanoribbon,1e-14,0.059451074000000007,9.46397053410628e-14,0.069147405,9.465163550579007e-14,0.12593083,1.6708174944275488e-11,24.0
313,0.313,Nanoribbon,1e-14,0.059532897,9.508184096696108e-14,0.06904719599999999,9.452521632297397e-14,0.124097717,6.772375193382393e-11,24.0
314,0.314,Nanoribbon,1e-14,0.05905952,9.401769530048829e-14,0.068766832,9.371329561122279e-14,0.124847555,1.6432666227774072e-11,24.0
315,0.315,Nanoribbon,1e-14,0.059117239,9.370371282110119e-14,0.068831161,9.323702563140476e-14,0.125561692,3.843396877485482e-10,24.0
316,0.316,Nanoribbon,1e-14,0.058790577999999996,9.385686202668603e-14,0.068525948,9.41225332429864e-14,0.125298523,3.0247769275038565e-11,24.0
317,0.317,Nanoribbon,1e-14,0.059134335,9.364863935553266e-14,0.068706479,9.35787432774692e-14,0.126109442,6.986206109044672e-11,24.0
318,0.318,Nanoribbon,1e-14,0.059750579000000005,9.460344535941865e-14,0.070413328,9.453662383131444e-14,0.125506373,1.5297161268562658e-10,26.0
319,0.319,Nanoribbon,1e-14,0.060304453,9.50030299432899e-14,0.070901904,9.467738896278416e-14,0.125366815,1.50417283168828e-10,26.0
320,0.32,Nanoribbon,1e-14,0.059563593,9.644819692070032e-14,0.070201252,9.629820078359971e-14,0.125381086,8.154304830127204,26.0
321,0.321,Nanoribbon,1e-14,0.059483232000000004,9.617279505875853e-14,0.07010881,9.646725437040544e-14,0.137674908,87491.14912107194,26.0
322,0.322,Nanoribbon,1e-14,0.059449345,9.49557639203436e-14,0.07009414900000001,9.499019007970422e-14,0.125330385,2.720988707679673e-10,26.0
323,0.32299999999999995,Nanoribbon,1e-14,0.060068229,9.482009706643132e-14,0.071677728,9.491991314029563e-14,0.125651909,8.87889586454894e-11,28.0
324,0.324,Nanoribbon,1e-14,0.059862715999999996,9.618314759054283e-14,0.07142325599999999,9.630714548085997e-14,0.125913894,6.798907574684034e-08,28.0
325,0.325,Nanoribbon,1e-14,0.059580224,9.639733960317801e-14,0.07108510000000001,9.635987107245316e-14,0.125475529,1.4325348527628162e-09,28.0
326,0.326,Nanoribbon,1e-14,0.05976736,9.677614967338603e-14,0.071393015,9.702426694270324e-14,0.125083841,8.654976075456623e-10,28.0
327,0.327,Nanoribbon,1e-14,0.059778297,9.613223562211e-14,0.071304331,9.665153560711213e-14,0.127454392,1.1345210093156816e-10,28.0
328,0.32799999999999996,Nanoribbon,1e-14,0.059666829000000005,9.607672394730696e-14,0.070900118,9.549148255101272e-14,0.135807767,8.79802954942732,28.0
329,0.32899999999999996,Nanoribbon,1e-14,0.059753693,9.510626769423932e-14,0.071388717,9.525157874300757e-14,0.126064037,1.8744123461966077e-09,28.0
330,0.33,Nanoribbon,1e-14,0.059760985,9.577842194680458e-14,0.071104817,9.592991827482956e-14,0.135539868,338.4554417472746,28.0
331,0.331,Nanoribbon,1e-14,0.059497275999999995,9.53504117303601e-14,0.071316671,9.551429368622713e-14,0.134611586,17.34301637767701,28.0
332,0.332,Nanoribbon,1e-14,0.059769552999999996,9.61783534269398e-14,0.071302083,9.63328583839998e-14,0.134592544,7.883404117432449,28.0
333,0.33299999999999996,Nanoribbon,1e-14,0.059675,9.629785807090089e-14,0.071093111,9.568798336613024e-14,0.125830387,1.4057134564452978e-10,28.0
334,0.33399999999999996,Nanoribbon,1e-14,0.059567977,9.541816960613108e-14,0.07101285,9.530400099618e-14,0.125680197,1.7773317997270101e-10,28.0
335,0.335,Nanoribbon,1e-14,0.05914124,9.494545477814002e-14,0.070599475,9.503830025834593e-14,0.127301478,4.026584765454424e-10,28.0
336,0.336,Nanoribbon,1e-14,0.05961915,9.54506620296222e-14,0.071138064,9.601530750150405e-14,0.130831447,465118.1056423186,28.0
337,0.337,Nanoribbon,1e-14,0.059704673,9.513790469821436e-14,0.07119207599999999,9.537130628203392e-14,0.128153928,21423734.11131552,28.0
338,0.33799999999999997,Nanoribbon,1e-14,0.059496321,9.543545550018204e-14,0.07095984,9.497988400010327e-14,0.125960549,3.329141029351051e-11,28.0
339,0.33899999999999997,Nanoribbon,1e-14,0.059425755,9.652594874419014e-14,0.07097414099999999,9.607044233712359e-14,0.126169173,6.729126757997809e-10,28.0
